a,b,question,answer
36,17,36+17=?,53
2,35,2+35=?,37
28,39,28+39=?,67
11,34,11+34=?,45
49,0,49+0=?,49
32,15,32+15=?,47
20,37,20+37=?,57
47,22,47+22=?,69
9,48,9+48=?,57
22,13,22+13=?,35
26,40,26+40=?,66
33,2,33+2=?,35
19,3,19+3=?,22
47,49,47+49=?,96
29,17,29+17=?,46
14,1,14+1=?,15
43,11,43+11=?,54
10,1,10+1=?,11
45,30,45+30=?,75
46,17,46+17=?,63
21,41,21+41=?,62
2,2,2+2=?,4
23,39,23+39=?,62
29,6,29+6=?,35
12,19,12+19=?,31
37,32,37+32=?,69
41,17,41+17=?,58
42,37,42+37=?,79
3,8,3+8=?,11
4,13,4+13=?,17
32,39,32+39=?,71
17,6,17+6=?,23
22,2,22+2=?,24
50,47,50+47=?,97
43,37,43+37=?,80
36,38,36+38=?,74
44,48,44+48=?,92
33,25,33+25=?,58
10,45,10+45=?,55
35,27,35+27=?,62
7,13,7+13=?,20
42,45,42+45=?,87
23,30,23+30=?,53
38,17,38+17=?,55
2,34,2+34=?,36
31,40,31+40=?,71
21,23,21+23=?,44
36,40,36+40=?,76
48,5,48+5=?,53
10,16,10+16=?,26
2,42,2+42=?,44
14,2,14+2=?,16
45,37,45+37=?,82
20,2,20+2=?,22
0,4,0+4=?,4
31,43,31+43=?,74
16,11,16+11=?,27
39,42,39+42=?,81
24,10,24+10=?,34
41,4,41+4=?,45
45,23,45+23=?,68
43,25,43+25=?,68
6,15,6+15=?,21
49,14,49+14=?,63
23,7,23+7=?,30
50,30,50+30=?,80
17,48,17+48=?,65
17,4,17+4=?,21
33,35,33+35=?,68
29,36,29+36=?,65
21,26,21+26=?,47
42,20,42+20=?,62
9,1,9+1=?,10
28,29,28+29=?,57
15,40,15+40=?,55
28,10,28+10=?,38
45,17,45+17=?,62
44,1,44+1=?,45
5,17,5+17=?,22
4,23,4+23=?,27
7,39,7+39=?,46
27,40,27+40=?,67
24,22,24+22=?,46
17,17,17+17=?,34
18,18,18+18=?,36
37,20,37+20=?,57
