a,b,question,answer
,,354 ÷ 3,118
,,425 ÷ 5,85
,,918 ÷ 3,306
,,208 ÷ 8,26
,,345 ÷ 3,115
,,926 ÷ 2,463
,,464 ÷ 8,58
,,336 ÷ 6,56
,,640 ÷ 8,80
,,444 ÷ 4,111
,,375 ÷ 3,125
,,669 ÷ 3,223
,,390 ÷ 6,65
,,618 ÷ 3,206
,,972 ÷ 6,162
,,210 ÷ 5,42
,,515 ÷ 5,103
,,265 ÷ 5,53
,,672 ÷ 6,112
,,648 ÷ 4,162
,,996 ÷ 4,249
,,375 ÷ 5,75
,,688 ÷ 8,86
,,610 ÷ 5,122
,,155 ÷ 5,31
,,616 ÷ 8,77
,,635 ÷ 5,127
,,999 ÷ 9,111
,,945 ÷ 9,105
,,496 ÷ 4,124
,,984 ÷ 6,164
,,632 ÷ 8,79
,,964 ÷ 4,241
,,324 ÷ 3,108
,,388 ÷ 4,97
,,256 ÷ 8,32
,,872 ÷ 8,109
,,906 ÷ 6,151
,,954 ÷ 3,318
,,735 ÷ 7,105
,,566 ÷ 2,283
,,916 ÷ 4,229
,,942 ÷ 6,157
,,624 ÷ 4,156
,,664 ÷ 2,332
,,248 ÷ 2,124
,,312 ÷ 6,52
,,215 ÷ 5,43
,,981 ÷ 9,109
,,472 ÷ 8,59
,,565 ÷ 5,113
,,763 ÷ 7,109
,,936 ÷ 9,104
,,255 ÷ 5,51
,,930 ÷ 2,465
,,115 ÷ 5,23
,,410 ÷ 2,205
,,610 ÷ 2,305
,,580 ÷ 5,116
,,925 ÷ 5,185
,,972 ÷ 9,108
,,416 ÷ 8,52
,,984 ÷ 3,328
,,749 ÷ 7,107
,,378 ÷ 3,126
,,728 ÷ 7,104
,,490 ÷ 5,98
,,963 ÷ 9,107
,,560 ÷ 4,140
,,275 ÷ 5,55
,,303 ÷ 3,101
,,333 ÷ 3,111
,,864 ÷ 8,108
,,710 ÷ 5,142
,,704 ÷ 4,176
,,664 ÷ 8,83
,,696 ÷ 6,116
,,440 ÷ 4,110
,,195 ÷ 5,39
,,608 ÷ 2,304
,,866 ÷ 2,433
,,168 ÷ 4,42
,,315 ÷ 3,105
,,948 ÷ 3,316
,,280 ÷ 8,35
,,640 ÷ 5,128
,,630 ÷ 6,105
,,666 ÷ 6,111
,,390 ÷ 3,130
,,342 ÷ 3,114
,,372 ÷ 6,62
,,372 ÷ 3,124
,,924 ÷ 6,154
,,516 ÷ 4,129
,,930 ÷ 3,310
,,642 ÷ 6,107
,,777 ÷ 7,111
,,996 ÷ 6,166
,,318 ÷ 6,53
,,608 ÷ 8,76
,,618 ÷ 2,309
,,216 ÷ 8,27
,,676 ÷ 2,338
,,720 ÷ 4,180
,,548 ÷ 2,274
,,628 ÷ 2,314
,,260 ÷ 5,52
,,432 ÷ 8,54
,,356 ÷ 4,89
