a,b,question,answer
3,3,3×3=?,9
3,2,3×2=?,6
3,8,3×8=?,24
3,3,3×3=?,9
5,6,5×6=?,30
5,8,5×8=?,40
1,2,1×2=?,2
1,9,1×9=?,9
2,9,2×9=?,18
1,6,1×6=?,6
1,8,1×8=?,8
5,7,5×7=?,35
5,3,5×3=?,15
2,4,2×4=?,8
5,3,5×3=?,15
4,3,4×3=?,12
4,1,4×1=?,4
5,2,5×2=?,10
1,2,1×2=?,2
4,3,4×3=?,12
3,8,3×8=?,24
5,7,5×7=?,35
5,4,5×4=?,20
2,2,2×2=?,4
5,1,5×1=?,5
3,8,3×8=?,24
3,9,3×9=?,27
4,4,4×4=?,16
2,7,2×7=?,14
5,3,5×3=?,15
4,6,4×6=?,24
3,4,3×4=?,12
4,6,4×6=?,24
5,4,5×4=?,20
1,1,1×1=?,1
1,2,1×2=?,2
4,4,4×4=?,16
4,9,4×9=?,36
3,9,3×9=?,27
4,7,4×7=?,28
5,3,5×3=?,15
2,5,2×5=?,10
3,5,3×5=?,15
1,2,1×2=?,2
3,8,3×8=?,24
5,9,5×9=?,45
4,4,4×4=?,16
4,1,4×1=?,4
2,6,2×6=?,12
2,6,2×6=?,12
5,9,5×9=?,45
5,5,5×5=?,25
4,3,4×3=?,12
3,9,3×9=?,27
3,9,3×9=?,27
2,3,2×3=?,6
5,8,5×8=?,40
4,9,4×9=?,36
4,4,4×4=?,16
2,9,2×9=?,18
2,3,2×3=?,6
4,3,4×3=?,12
1,4,1×4=?,4
1,3,1×3=?,3
5,5,5×5=?,25
1,5,1×5=?,5
1,3,1×3=?,3
5,3,5×3=?,15
2,4,2×4=?,8
2,1,2×1=?,2
3,3,3×3=?,9
4,1,4×1=?,4
3,3,3×3=?,9
2,5,2×5=?,10
3,6,3×6=?,18
4,7,4×7=?,28
5,8,5×8=?,40
1,8,1×8=?,8
4,4,4×4=?,16
5,2,5×2=?,10
1,8,1×8=?,8
3,7,3×7=?,21
1,1,1×1=?,1
2,9,2×9=?,18
5,6,5×6=?,30
4,4,4×4=?,16
2,8,2×8=?,16
3,9,3×9=?,27
1,9,1×9=?,9
4,7,4×7=?,28
3,2,3×2=?,6
