a,b,question,answer
32,11,32-11=?,21
77,76,77-76=?,1
19,17,19-17=?,2
87,25,87-25=?,62
32,24,32-24=?,8
60,26,60-26=?,34
12,11,12-11=?,1
92,23,92-23=?,69
55,12,55-12=?,43
74,18,74-18=?,56
99,26,99-26=?,73
57,26,57-26=?,31
72,61,72-61=?,11
24,14,24-14=?,10
17,12,17-12=?,5
94,17,94-17=?,77
36,22,36-22=?,14
73,27,73-27=?,46
77,45,77-45=?,32
26,20,26-20=?,6
91,14,91-14=?,77
17,16,17-16=?,1
56,49,56-49=?,7
29,26,29-26=?,3
69,35,69-35=?,34
25,18,25-18=?,7
68,48,68-48=?,20
37,17,37-17=?,20
95,61,95-61=?,34
46,39,46-39=?,7
79,48,79-48=?,31
83,14,83-14=?,69
62,19,62-19=?,43
81,53,81-53=?,28
22,14,22-14=?,8
77,68,77-68=?,9
66,53,66-53=?,13
69,59,69-59=?,10
23,16,23-16=?,7
28,24,28-24=?,4
73,64,73-64=?,9
50,43,50-43=?,7
39,32,39-32=?,7
96,72,96-72=?,24
66,57,66-57=?,9
60,11,60-11=?,49
42,16,42-16=?,26
15,12,15-12=?,3
13,11,13-11=?,2
59,35,59-35=?,24
86,40,86-40=?,46
41,24,41-24=?,17
13,12,13-12=?,1
96,81,96-81=?,15
20,13,20-13=?,7
54,50,54-50=?,4
37,29,37-29=?,8
24,18,24-18=?,6
62,38,62-38=?,24
54,30,54-30=?,24
57,47,57-47=?,10
13,12,13-12=?,1
77,11,77-11=?,66
92,85,92-85=?,7
60,16,60-16=?,44
87,48,87-48=?,39
94,67,94-67=?,27
57,21,57-21=?,36
28,15,28-15=?,13
13,11,13-11=?,2
95,37,95-37=?,58
17,15,17-15=?,2
82,73,82-73=?,9
84,83,84-83=?,1
18,15,18-15=?,3
49,42,49-42=?,7
41,38,41-38=?,3
45,41,45-41=?,4
99,59,99-59=?,40
12,11,12-11=?,1
86,81,86-81=?,5
19,14,19-14=?,5
37,33,37-33=?,4
58,22,58-22=?,36
77,48,77-48=?,29
57,27,57-27=?,30
91,40,91-40=?,51
37,31,37-31=?,6
68,37,68-37=?,31
92,12,92-12=?,80
48,24,48-24=?,24
24,13,24-13=?,11
91,64,91-64=?,27
16,14,16-14=?,2
97,30,97-30=?,67
86,26,86-26=?,60
21,14,21-14=?,7
21,12,21-12=?,9
29,14,29-14=?,15
23,13,23-13=?,10
19,11,19-11=?,8
23,19,23-19=?,4
22,18,22-18=?,4
52,12,52-12=?,40
47,32,47-32=?,15
38,16,38-16=?,22
25,13,25-13=?,12
93,88,93-88=?,5
90,50,90-50=?,40
35,33,35-33=?,2
54,12,54-12=?,42
64,44,64-44=?,20
61,20,61-20=?,41
26,12,26-12=?,14
82,46,82-46=?,36
96,42,96-42=?,54
70,17,70-17=?,53
84,16,84-16=?,68
39,36,39-36=?,3
83,47,83-47=?,36
58,27,58-27=?,31
16,13,16-13=?,3
30,19,30-19=?,11
40,35,40-35=?,5
73,23,73-23=?,50
24,15,24-15=?,9
91,19,91-19=?,72
78,36,78-36=?,42
37,35,37-35=?,2
58,36,58-36=?,22
84,37,84-37=?,47
61,13,61-13=?,48
23,15,23-15=?,8
78,24,78-24=?,54
53,26,53-26=?,27
64,11,64-11=?,53
22,13,22-13=?,9
